Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
20,6,CC1=C(OCC2=CC=CC=C2)C(=O)C=CN1CCN,CC1=C(O)C(=O)C=CN1CCN,92
100,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,99
120,1,OCC1=CC=CO1,OC(=O)C1=CC=CO1,96.7
20,30,OCC1=CC=CO1,OC(=O)C1=CC=CO1,95
30,40,OCC1=CC=CO1,OC(=O)C1=CC=CO1,93
90,12,OCC1=CC=CO1,OC(=O)C1=CC=CO1,93.6
20,23,OCC1=CC=CO1,OC(=O)C1=CC=CO1,92
100,5,OCC1=CC=CO1,OC(=O)C1=CC=CO1,91
20,5,OCC1=CC=CO1,OC(=O)C1=CC=CO1,90
110,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,90
80,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,88
120,12,OCC1=CC=CO1,OC(=O)C1=CC=CO1,88
100,12,OCC1=CC=CO1,OC(=O)C1=CC=CO1,86
20,1,OCC1=CC=CO1,OC(=O)C1=CC=CO1,86
120,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,85
90,12,OCC1=CC=CO1,OC(=O)C1=CC=CO1,81.6
20,4,OCC1=CC=CO1,OC(=O)C1=CC=CO1,80
70,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,80
25,2,OCC1=CC=CO1,OC(=O)C1=CC=CO1,79
25,12,OCC1=CC=CO1,OC(=O)C1=CC=CO1,75
80,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,75
20,6,OCC1=CC=CO1,OC(=O)C1=CC=CO1,75
120,40,OCC1=CC=CO1,OC(=O)C1=CC=CO1,64
25,1,OCC1=CC=CO1,OC(=O)C1=CC=CO1,63
100,0.533333,OCC1=CC=CO1,OC(=O)C1=CC=CO1,63
25,0.833333,OCC1=CC=CO1,OC(=O)C1=CC=CO1,60
20,5,OCC1=CC=CO1,OC(=O)C1=CC=CO1,53
140,16,OCC1=CC=CO1,OC(=O)C1=CC=CO1,47
80,4,OCC1=CC=CO1,OC(=O)C1=CC=CO1,46
120,48,OCC1=CC=CO1,OC(=O)C1=CC=CO1,35
120,6,OCC1=CC=CO1,OC(=O)C1=CC=CO1,32.2
120,24,OCC1=CC=CO1,OC(=O)C1=CC=CO1,25
80,8,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
25,0.25,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
60,24,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
80,8,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
90,24,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
90,2,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,0.05,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
100,2,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,0.0833333,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
80,2,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
110,4,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
60,0.25,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,18,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
110,15,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
60,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,2,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,0.166667,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
20,0.0333333,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
100,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,100
90,1,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
60,1,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
80,2,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,0.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
82,3.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,16,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,7,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
60,22,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
70,4,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,10,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
89.84,6,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
100,72,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
100,8,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,0.05,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,10,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
56,0.333333,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
25,4,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
10,1.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,8,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
80,18,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
60,0.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
40,7,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
105,16,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,10,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
60,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
80,17,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
45,6,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99.9
27,18,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,12,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
25,23,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
30,50,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
60,14,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
110,12,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
100,3.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,0.0833333,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
50,24,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
65,2,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,99
20,4,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
50,5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98.9
80,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
60,1,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
20,0.333333,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
80,0.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
20,0.666667,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
20,0.5,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
80,1,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
25,0.25,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
60,3,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
20,4,OC(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,98
