Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
20,1,C[Si](C)(C)C#N.ClC1=CC=CC(Cl)=C1C=O.NC1=CC=CC=C1,ClC1=CC=CC(Cl)=C1C(NC1=CC=CC=C1)C#N,86
20,0.25,C[Si](C)(C)C#N.ClC1=CC=CC(Cl)=C1C=O.NC1=CC=CC=C1,ClC1=CC=CC(Cl)=C1C(NC1=CC=CC=C1)C#N,85
20,0.5,C[Si](C)(C)Cl.CC(=O)C1=CC=C(C=C1)C(C)(C)C,CC(C)(C)C1=CC=C(C=C1)C(=C)O[Si](C)(C)C,100
20,0.333333,OC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1.O=C(CCC(=O)ON1C(=O)CCC1=O)OC1COC(OC1)C1=CC=CC=C1,O=C(CCC(=O)OC1COC(OC1)C1=CC=CC=C1)OCC(COC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1)OC(=O)CCC(=O)ON1C(=O)CCC1=O,70
20,0.333333,OC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1.O=C(CCC(=O)OC1COC(OC1)C1=CC=CC=C1)OCC(COC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1)OC(=O)CCC(=O)ON1C(=O)CCC1=O,O=C(CCC(=O)OC(COC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1)COC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1)OCC(COC(=O)CCC(=O)OC(COC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1)COC(=O)CCC(=O)OC1COC(OC1)C1=CC=CC=C1)OC(=O)CCC(=O)ON1C(=O)CCC1=O,72
95,8,C[Si](C)(C)C#N.NC1=CC=CC=C1.O=CC1=CC=CC=C1N(=O)=O,O=N(=O)C1=C(C=CC=C1)C(NC1=CC=CC=C1)C#N,95
20,0.166667,C[Si](C)(C)C#N.NC1=CC=CC=C1.O=CC1=CC=CC=C1N(=O)=O,O=N(=O)C1=C(C=CC=C1)C(NC1=CC=CC=C1)C#N,94
20,0.5,C[Si](C)(C)C#N.NC1=CC=CC=C1.O=CC1=CC=CC=C1N(=O)=O,O=N(=O)C1=C(C=CC=C1)C(NC1=CC=CC=C1)C#N,93
20,0.366667,C[Si](C)(C)C#N.NC1=CC=CC=C1.O=CC1=CC=CC=C1N(=O)=O,O=N(=O)C1=C(C=CC=C1)C(NC1=CC=CC=C1)C#N,91
20,0.25,C[Si](C)(C)C#N.NC1=CC=CC=C1.O=CC1=CC=CC=C1N(=O)=O,O=N(=O)C1=C(C=CC=C1)C(NC1=CC=CC=C1)C#N,89
